tourney_id;tourney_name;surface;draw_size;tourney_level;tourney_date;match_num;winner_id;winner_seed;winner_entry;winner_name;winner_hand;winner_ht;winner_ioc;winner_age;winner_rank;winner_rank_points;loser_id;loser_seed;loser_entry;loser_name;loser_hand;loser_ht;loser_ioc;loser_age;loser_rank;loser_rank_points;score;best_of;round;minutes;w_ace;w_df;w_svpt;w_1stIn;w_1stWon;w_2ndWon;w_SvGms;w_bpSaved;w_bpFaced;l_ace;l_df;l_svpt;l_1stIn;l_1stWon;l_2ndWon;l_SvGms;l_bpSaved;l_bpFaced;;;;;;;;;;;;;;;;;;;;
2013-540;Wimbledon;Grass;128;G;20130624;123;105668;24;;Jerzy Janowicz;R;203;POL;22.6119096509;22;1549;103997;;;Lukasz Kubot;R;190;POL;31.1074606434;130;440;7-5 6-4 6-4;5;QF;127;30;9;103;70;63;12;16;6;6;9;3;100;57;44;20;16;7;10;;;;;;;;;;;;;;;;;;;;
2013-580;Australian Open;Hard;128;G;20130114;67;105023;20;;Sam Querrey;R;198;USA;25.273100616;22;1650;104548;;;Brian Baker;R;190;USA;27.7097878166;57;776;6-7(2) 1-1 RET;5;R64;66;5;1;47;30;21;9;8;3;4;5;0;53;36;25;11;7;4;5;;;;;;;;;;;;;;;;;;;;
2013-352;Paris Masters;Hard;48;M;20131028;11;105777;;;Grigor Dimitrov;R;188;BUL;22.4531143053;22;1500;103566;;WC;Michael Llodra;L;190;FRA;33.4455852156;50;901;6-7(5) 6-3 6-3;3;R64;111;13;3;85;57;49;16;15;4;5;9;3;103;68;49;15;15;9;13;;;;;;;;;;;;;;;;;;;;
2013-422;Cincinnati Masters;Hard;56;M;20130811;6;104545;;;John Isner;R;206;USA;28.295687885;22;1585;104252;;;Florian Mayer;R;190;GER;29.8535249829;47;940;6-3 6-4;3;R64;62;17;0;51;35;29;12;10;0;0;3;5;57;25;18;16;9;3;5;;;;;;;;;;;;;;;;;;;;
2014-580;Australian Open;Hard;128;G;20140113;12;105777;22;;Grigor Dimitrov;R;188;BUL;22.6639288159;22;1460;105614;;;Bradley Klahn;L;190;USA;23.4004106776;93;592;6-7(7) 6-4 6-4 6-3;5;R128;154;14;4;108;62;55;30;20;0;0;10;9;130;75;54;28;21;4;8;;;;;;;;;;;;;;;;;;;;
2014-439;Umag;Clay;28;A;20140721;18;105227;3;;Marin Cilic;R;198;CRO;25.8097193703;22;1665;104997;;;Igor Sijsling;R;190;NED;26.9240246407;76;703;7-5 6-3;3;R16;68;11;1;51;28;26;16;11;0;1;2;2;60;35;24;12;10;1;4;;;;;;;;;;;;;;;;;;;;
2014-6967;Shenzhen;Hard;28;A;20140922;22;103990;4;;Tommy Robredo;R;180;ESP;32.3942505133;22;1645;104312;8;;Andreas Seppi;R;190;ITA;30.5845311431;48;880;6-4 6-7(5) 6-3;3;QF;156;19;3;104;58;48;26;16;1;1;11;4;102;59;46;23;15;4;6;;;;;;;;;;;;;;;;;;;;
2014-321;Stuttgart;Clay;28;A;20140707;24;104022;2;;Mikhail Youzhny;R;183;RUS;32.0328542094;22;1655;105643;8;;Federico Delbonis;L;190;ARG;23.7535934292;38;1084;7-6(2) 6-2;3;QF;101;4;2;66;44;34;15;10;3;3;2;4;88;52;31;22;10;13;15;;;;;;;;;;;;;;;;;;;;
2014-410;Monte Carlo Masters;Clay;56;M;20140413;21;105238;17;;Alexandr Dolgopolov;R;180;UKR;25.4318959617;22;1690;105208;;;Ernests Gulbis;R;190;LAT;25.620807666;23;1655;6-2 6-4;3;R64;82;5;1;54;24;20;17;9;1;2;7;7;77;40;28;13;9;7;11;;;;;;;;;;;;;;;;;;;;
2014-807;Acapulco;Hard;32;A;20140224;27;105777;4;;Grigor Dimitrov;R;188;BUL;22.7789185489;22;1675;105208;7;;Ernests Gulbis;R;190;LAT;25.4866529774;18;1788;4-6 7-6(2) 7-5;3;QF;160;4;7;114;71;50;18;17;7;12;15;12;101;64;49;8;17;2;7;;;;;;;;;;;;;;;;;;;;
2014-807;Acapulco;Hard;32;A;20140224;30;105777;4;;Grigor Dimitrov;R;188;BUL;22.7789185489;22;1675;104918;2;;Andy Murray;R;190;GBR;26.7816563997;7;4795;4-6 7-6(5) 7-6(3);3;SF;175;5;2;107;74;59;16;17;3;6;4;1;109;72;57;20;17;5;7;;;;;;;;;;;;;;;;;;;;
2015-D033;Davis Cup G1 PO: DEN vs ESP;Hard;4;D;20150918;3;105138;;;Roberto Bautista Agut;R;;ESP;27.4168377823;22;1510;104233;;;Frederik Nielsen;R;190;DEN;32.0492813142;283;161;6-3 6-4;3;RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-891;Chennai;Hard;28;A;20150105;22;105676;4;;David Goffin;R;163;BEL;24.0793976728;22;1599;104890;;;Andreas Haider Maurer;R;190;AUT;27.7919233402;79;621;7-5 6-2;3;QF;72;7;1;50;25;21;17;10;0;1;6;2;62;39;25;10;10;3;7;;;;;;;;;;;;;;;;;;;;
2012-414;Hamburg;Clay;32;A;20120716;23;104252;7;;Florian Mayer;R;190;GER;28.7802874743;23;1545;104898;;;Robin Haase;R;190;NED;25.2785763176;42;930;6-2 6-1;3;R16;56;3;1;34;21;19;9;7;0;0;2;4;60;41;23;4;8;1;6;;;;;;;;;;;;;;;;;;;;
2013-520;Roland Garros;Clay;128;G;20130527;78;105668;21;;Jerzy Janowicz;R;203;POL;22.5352498289;23;1524;104898;;;Robin Haase;R;190;NED;26.1409993155;66;727;6-4 4-6 6-4 6-3;5;R64;157;5;7;119;71;48;28;19;7;10;1;0;120;82;51;21;20;8;14;;;;;;;;;;;;;;;;;;;;
2013-338;Sydney;Hard;28;A;20130107;23;104312;3;;Andreas Seppi;R;190;ITA;28.8788501027;23;1560;104719;8;;Marcel Granollers;R;190;ESP;26.7405886379;33;1100;6-4 7-5;3;QF;86;3;1;50;29;26;15;11;0;1;4;2;75;39;27;17;11;4;7;;;;;;;;;;;;;;;;;;;;
2013-352;Paris Masters;Hard;48;M;20131028;10;104259;;;Philipp Kohlschreiber;R;178;GER;30.0342231348;23;1445;104312;;;Andreas Seppi;R;190;ITA;29.6837782341;25;1395;6-3 3-6 6-4;3;R64;118;10;5;80;42;35;20;14;5;7;7;1;104;58;44;18;14;10;13;;;;;;;;;;;;;;;;;;;;
2014-540;Wimbledon;Grass;128;G;20140623;74;105138;27;;Roberto Bautista Agut;R;;ESP;26.1902806297;23;1580;103401;;Q;Jan Hernych;R;190;CZE;34.9623545517;285;165;7-5 4-6 6-2 6-2;5;R64;144;7;2;116;96;69;8;19;8;10;6;3;112;72;50;17;19;7;13;;;;;;;;;;;;;;;;;;;;
2014-422;Cincinnati Masters;Hard;56;M;20140810;23;104792;;;Gael Monfils;R;193;FRA;27.9425051335;23;1590;105643;;;Federico Delbonis;L;190;ARG;23.8494182067;63;781;6-3 3-6 6-3;3;R64;91;5;4;80;63;47;10;14;5;6;1;4;72;41;32;17;13;2;4;;;;;;;;;;;;;;;;;;;;
2014-339;Brisbane;Hard;28;A;20131229;10;105777;5;;Grigor Dimitrov;R;188;BUL;22.6255989049;23;1520;104898;;;Robin Haase;R;190;NED;26.7351129363;43;977;6-2 6-3;3;R32;58;6;1;43;23;21;15;9;0;0;2;1;56;39;24;8;8;5;8;;;;;;;;;;;;;;;;;;;;
2014-496;Marseille;Hard;28;A;20140217;22;105208;3;;Ernests Gulbis;R;190;LAT;25.4674880219;23;1558;103917;8;;Nicolas Mahut;R;190;FRA;32.0739219713;41;1005;6-3 7-6(1);3;QF;81;9;0;56;41;38;10;11;0;0;6;2;70;46;30;14;10;5;6;;;;;;;;;;;;;;;;;;;;
2015-422;Cincinnati Masters;Hard;56;M;20150816;38;103852;;;Feliciano Lopez;L;188;ESP;33.9055441478;23;1530;104312;;;Andreas Seppi;R;190;ITA;31.485284052;25;1430;7-6(6) 6-2;3;R32;;17;4;78;37;31;22;10;6;6;4;2;62;28;19;23;10;2;4;;;;;;;;;;;;;;;;;;;;
2012-421;Canada Masters;Hard;48;M;20120806;40;105683;16;;Milos Raonic;R;196;CAN;21.6098562628;24;1540;104918;2;;Andy Murray;R;190;GBR;25.2292950034;4;8120; W/O;3;R16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-439;Umag;Clay;28;A;20130722;20;104312;2;;Andreas Seppi;R;190;ITA;29.4154688569;24;1550;104890;;;Andreas Haider Maurer;R;190;AUT;26.3353867214;96;583;6-1 4-0 RET;3;R16;64;2;3;45;18;14;15;5;4;4;2;6;53;25;14;8;6;5;10;;;;;;;;;;;;;;;;;;;;
2013-560;US Open;Hard;128;G;20130826;12;104022;21;;Mikhail Youzhny;R;183;RUS;31.1704312115;24;1475;103917;;;Nicolas Mahut;R;190;FRA;31.5947980835;78;643;6-4 6-4 7-6(4);5;R128;151;8;3;92;59;50;20;16;2;3;6;5;117;74;50;22;16;8;11;;;;;;;;;;;;;;;;;;;;
2014-451;Doha;Hard;32;A;20131230;18;105208;7;;Ernests Gulbis;R;190;LAT;25.3333333333;24;1393;103997;;;Lukasz Kubot;R;190;POL;31.6249144422;72;686;6-2 4-6 6-3;3;R16;129;12;3;87;64;44;14;14;3;5;1;3;105;65;38;21;13;12;16;;;;;;;;;;;;;;;;;;;;
2015-573;Valencia;Hard;28;A;20151026;23;105138;7;;Roberto Bautista Agut;R;;ESP;27.5318275154;24;1465;104999;;Q;Mischa Zverev;L;190;GER;28.1779603012;215;235;6-4 6-3;3;QF;;3;2;56;42;31;9;10;5;6;3;1;55;34;21;10;9;4;7;;;;;;;;;;;;;;;;;;;;
2015-314;Gstaad;Clay;28;A;20150727;18;106233;3;;Dominic Thiem;R;;AUT;21.8945927447;24;1475;105643;;;Federico Delbonis;L;190;ARG;24.8076659822;68;727;6-3 6-4;3;R16;;2;1;54;42;31;9;10;1;2;3;3;52;27;19;12;9;3;6;;;;;;;;;;;;;;;;;;;;
2012-416;Rome Masters;Clay;56;M;20120513;2;103285;;;Radek Stepanek;R;185;CZE;33.4620123203;25;1340;103428;;;Juan Ignacio Chela;R;190;ARG;32.7063655031;37;1085;2-6 6-0 6-3;3;R64;115;0;2;74;50;37;12;12;2;4;1;3;73;45;27;14;11;5;9;;;;;;;;;;;;;;;;;;;;
2012-D012;Davis Cup WG R1: GER vs ARG;Clay;4;D;20120210;3;103428;;;Juan Ignacio Chela;R;190;ARG;32.4380561259;25;1395;104252;;;Florian Mayer;R;190;GER;28.3394934976;21;1585;7-5 7-5;3;RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-438;Moscow;Hard;28;A;20121015;20;104312;2;;Andreas Seppi;R;190;ITA;28.6488706366;25;1415;104997;;;Igor Sijsling;R;190;NED;25.1608487337;77;622;7-5 6-2;3;R16;68;9;0;50;31;25;13;10;0;1;9;2;68;40;27;10;10;1;5;;;;;;;;;;;;;;;;;;;;
2012-6242;Winston-Salem;Hard;48;A;20120819;34;104719;6;;Marcel Granollers;R;190;ESP;26.3572895277;25;1530;105208;;Q;Ernests Gulbis;R;190;LAT;23.9726214921;153;341;4-6 6-3 6-2;3;R16;121;3;5;85;59;47;13;14;8;9;4;5;78;42;29;20;13;2;5;;;;;;;;;;;;;;;;;;;;
2012-425;Barcelona;Clay;56;A;20120423;52;105683;11;;Milos Raonic;R;196;CAN;21.3223819302;25;1335;104918;2;;Andy Murray;R;190;GBR;24.9418206708;4;7860;6-4 7-6(3);3;QF;104;14;1;69;45;38;13;11;3;4;3;1;71;45;33;13;11;3;5;;;;;;;;;;;;;;;;;;;;
2013-414;Hamburg;Clay;48;A;20130715;47;104926;12;;Fabio Fognini;R;178;ITA;26.1437371663;25;1515;105643;;Q;Federico Delbonis;L;190;ARG;22.7761806982;114;507;4-6 7-6(8) 6-2;3;F;147;2;3;89;49;34;23;15;2;6;6;2;112;67;43;21;15;9;14;;;;;;;;;;;;;;;;;;;;
2013-414;Hamburg;Clay;48;A;20130715;39;104926;12;;Fabio Fognini;R;178;ITA;26.1437371663;25;1515;104719;;;Marcel Granollers;R;190;ESP;27.2580424367;51;870;6-2 6-4;3;R16;91;1;4;65;39;26;13;9;5;7;2;0;65;38;20;11;9;8;13;;;;;;;;;;;;;;;;;;;;
2013-422;Cincinnati Masters;Hard;56;M;20130811;24;104022;;;Mikhail Youzhny;R;183;RUS;31.1321013005;25;1440;105208;;;Ernests Gulbis;R;190;LAT;24.9500342231;34;1206;7-5 6-3;3;R64;87;7;0;65;44;34;14;11;3;3;4;2;58;31;24;14;10;1;3;;;;;;;;;;;;;;;;;;;;
2013-416;Rome Masters;Clay;56;M;20130512;12;104926;;;Fabio Fognini;R;178;ITA;25.9712525667;25;1345;104312;;;Andreas Seppi;R;190;ITA;29.2238193018;21;1700;6-4 6-1;3;R64;70;1;0;59;39;26;13;8;2;3;4;3;54;35;19;5;9;3;8;;;;;;;;;;;;;;;;;;;;
2014-560;US Open;Hard;128;G;20140825;67;104259;22;;Philipp Kohlschreiber;R;178;GER;30.8583162218;25;1505;103566;;WC;Michael Llodra;L;190;FRA;34.2696783025;192;256;6-2 RET;5;R64;30;4;1;24;14;11;6;4;0;0;0;0;25;17;8;5;5;0;2;;;;;;;;;;;;;;;;;;;;
2014-520;Roland Garros;Clay;128;G;20140526;28;104269;24;;Fernando Verdasco;L;188;ESP;30.5270362765;25;1420;103566;;WC;Michael Llodra;L;190;FRA;34.0205338809;153;370;6-2 7-6(4) 7-6(3);5;R128;152;3;3;109;83;61;19;16;5;6;6;3;122;83;55;20;16;10;13;;;;;;;;;;;;;;;;;;;;
2014-422;Cincinnati Masters;Hard;56;M;20140810;27;104022;;;Mikhail Youzhny;R;183;RUS;32.128678987;25;1495;104312;;;Andreas Seppi;R;190;ITA;30.46954141;52;890;6-3 6-4;3;R32;79;3;1;53;37;26;10;10;3;5;4;3;60;32;20;13;9;6;10;;;;;;;;;;;;;;;;;;;;
2014-1536;Madrid Masters;Clay;56;M;20140504;8;104269;;;Fernando Verdasco;L;188;ESP;30.46954141;25;1500;104312;;;Andreas Seppi;R;190;ITA;30.2012320329;34;1150;6-3 7-6(3);3;R64;99;2;2;74;59;40;10;11;5;7;4;5;74;46;31;12;10;7;10;;;;;;;;;;;;;;;;;;;;
2015-316;Bastad;Clay;28;A;20150720;15;104655;3;;Pablo Cuevas;R;180;URU;29.5468856947;25;1297;105643;;;Federico Delbonis;L;190;ARG;24.7885010267;68;727;6-4 6-7(6) 6-0;3;R16;;10;8;105;57;44;22;14;8;10;3;6;86;49;27;22;14;2;8;;;;;;;;;;;;;;;;;;;;
2012-500;Halle;Grass;28;A;20120611;7;103285;;;Radek Stepanek;R;185;CZE;33.5386721424;26;1340;104312;7;;Andreas Seppi;R;190;ITA;28.3039014374;24;1490;7-6(6) 4-6 7-6(7);3;R32;174;8;5;122;72;53;30;17;8;10;9;2;125;72;55;31;17;8;9;;;;;;;;;;;;;;;;;;;;
2012-747;Beijing;Hard;32;A;20121001;23;105023;;;Sam Querrey;R;198;USA;24.9856262834;26;1440;104312;;;Andreas Seppi;R;190;ITA;28.6105407255;25;1495;6-1 6-4;3;R16;67;6;0;49;27;23;14;9;0;0;1;4;59;32;21;12;8;6;9;;;;;;;;;;;;;;;;;;;;
2013-6003;Kuala Lumpur;Hard;28;A;20130923;15;103781;4;;Jurgen Melzer;L;183;AUT;32.3394934976;26;1425;104999;;Q;Mischa Zverev;L;190;GER;26.0889801506;139;417;7-5 6-4;3;R16;87;1;3;56;35;25;11;11;1;4;1;4;83;53;35;8;11;4;9;;;;;;;;;;;;;;;;;;;;
2013-560;US Open;Hard;128;G;20130826;83;103852;23;;Feliciano Lopez;L;188;ESP;31.9315537303;26;1435;105614;;WC;Bradley Klahn;L;190;USA;23.0171115674;124;460;6-4 7-6(4) 4-6 7-5;5;R64;177;23;10;150;80;60;37;22;6;9;16;3;131;94;70;17;22;5;9;;;;;;;;;;;;;;;;;;;;
2013-520;Roland Garros;Clay;128;G;20130527;75;105332;24;;Benoit Paire;R;196;FRA;24.052019165;26;1405;103997;;;Lukasz Kubot;R;190;POL;31.0308008214;107;514;7-6(2) 6-2 6-4;5;R64;104;9;3;82;47;34;20;15;2;6;1;2;102;77;46;8;15;9;16;;;;;;;;;;;;;;;;;;;;
2013-429;Stockholm;Hard;28;A;20131014;16;105208;5;;Ernests Gulbis;R;190;LAT;25.1225188227;26;1361;104997;;;Igor Sijsling;R;190;NED;26.1574264203;67;713;6-3 7-6(3);3;R16;78;9;1;59;43;33;11;11;0;1;1;1;69;39;27;14;10;2;4;;;;;;;;;;;;;;;;;;;;
2013-6003;Kuala Lumpur;Hard;28;A;20130923;22;103781;4;;Jurgen Melzer;L;183;AUT;32.3394934976;26;1425;105643;;;Federico Delbonis;L;190;ARG;22.9678302533;59;810;6-3 6-2;3;QF;80;3;4;57;36;29;12;9;3;3;3;2;61;43;24;7;8;4;7;;;;;;;;;;;;;;;;;;;;
2013-540;Wimbledon;Grass;128;G;20130624;60;104022;20;;Mikhail Youzhny;R;183;RUS;30.9979466119;26;1415;104898;;;Robin Haase;R;190;NED;26.2176591376;58;797;6-4 7-5 7-5;5;R128;138;9;3;92;62;53;17;17;2;2;7;2;123;84;61;15;17;18;21;;;;;;;;;;;;;;;;;;;;
2014-495;Dubai;Hard;32;A;20140224;23;104259;7;;Philipp Kohlschreiber;R;178;GER;30.3600273785;26;1375;104312;;;Andreas Seppi;R;190;ITA;30.0095824778;31;1210;6-3 6-3;3;R16;80;5;0;71;41;32;15;9;4;4;7;1;61;38;24;10;9;1;4;;;;;;;;;;;;;;;;;;;;
2015-414;Hamburg;Clay;32;A;20150727;19;104312;4;;Andreas Seppi;R;190;ITA;31.4277891855;26;1355;104252;;WC;Florian Mayer;R;190;GER;31.8083504449;261;181;4-6 6-2 6-3;3;R16;;5;3;76;48;36;16;14;1;3;11;3;74;43;29;13;13;5;9;;;;;;;;;;;;;;;;;;;;
2015-439;Umag;Clay;28;A;20150720;22;106233;4;;Dominic Thiem;R;;AUT;21.8754277892;26;1235;104890;;;Andreas Haider Maurer;R;190;AUT;28.3285420945;61;785;6-7(5) 6-1 3-0 RET;3;QF;;3;0;64;36;29;19;11;0;1;6;1;71;38;25;11;11;4;9;;;;;;;;;;;;;;;;;;;;
2015-414;Hamburg;Clay;32;A;20150727;5;104312;4;;Andreas Seppi;R;190;ITA;31.4277891855;26;1355;105373;;;Martin Klizan;L;190;SVK;26.0424366872;34;1100;6-2 6-4;3;R32;;5;1;65;40;28;16;9;3;3;1;1;54;24;16;15;9;2;5;;;;;;;;;;;;;;;;;;;;
2012-429;Stockholm;Hard;28;A;20121015;10;104022;6;;Mikhail Youzhny;R;183;RUS;30.3080082136;27;1335;104548;;;Brian Baker;R;190;USA;27.4606433949;56;762;6-3 6-1;3;R32;78;4;1;48;26;19;12;8;0;1;1;4;54;33;17;8;8;5;10;;;;;;;;;;;;;;;;;;;;
2012-6116;Atlanta;Hard;28;A;20120716;15;104053;4;;Andy Roddick;R;188;USA;29.87816564;27;1395;103917;;;Nicolas Mahut;R;190;FRA;30.4832306639;66;719;7-6(4) 6-3;3;R16;98;10;1;75;50;38;14;11;4;5;15;1;63;38;31;11;10;2;4;;;;;;;;;;;;;;;;;;;;
2012-615;Dusseldorf;Clay;64;A;20120521;23;104259;;;Philipp Kohlschreiber;R;178;GER;28.5968514716;27;1320;103735;;;Lovro Zovko;R;190;CRO;31.1759069131;;;6-2 7-6(2);3;RR;91;9;0;56;42;37;7;10;1;1;4;2;85;51;35;13;10;12;14;;;;;;;;;;;;;;;;;;;;
2012-422;Cincinnati Masters;Hard;56;M;20120812;24;104312;;;Andreas Seppi;R;190;ITA;28.476386037;27;1355;104898;;;Robin Haase;R;190;NED;25.3552361396;44;955;6-4 6-4;3;R64;78;2;0;59;42;30;10;10;2;3;10;4;67;37;27;12;10;0;3;;;;;;;;;;;;;;;;;;;;
2012-807;Acapulco;Clay;32;A;20120227;23;104269;8;;Fernando Verdasco;L;188;ESP;28.2847364819;27;1320;103428;;;Juan Ignacio Chela;R;190;ARG;32.4955509925;33;1165;6-4 6-2;3;R16;84;3;4;50;38;31;7;9;1;1;0;2;63;39;21;15;9;9;12;;;;;;;;;;;;;;;;;;;;
2012-421;Canada Masters;Hard;48;M;20120806;22;104719;;;Marcel Granollers;R;190;ESP;26.3189596167;27;1350;104252;15;;Florian Mayer;R;190;GER;28.8377823409;23;1545;6-3 6-4;3;R32;80;9;2;64;39;31;13;10;4;5;0;1;50;29;19;10;9;2;5;;;;;;;;;;;;;;;;;;;;
2013-308;Munich;Clay;28;A;20130429;7;104252;6;;Florian Mayer;R;190;GER;29.5660506502;27;1305;103997;;Q;Lukasz Kubot;R;190;POL;30.9541409993;100;540;7-6(2) 4-6 7-5;3;R32;154;11;5;131;95;65;16;17;10;13;10;3;116;75;48;24;17;8;11;;;;;;;;;;;;;;;;;;;;
2014-500;Halle;Grass;28;A;20140609;2;104259;;;Philipp Kohlschreiber;R;178;GER;30.6475017112;27;1395;104312;;;Andreas Seppi;R;190;ITA;30.2970568104;34;1150;6-3 6-4;3;R32;69;9;0;61;40;31;13;10;3;3;9;0;49;31;20;10;9;0;2;;;;;;;;;;;;;;;;;;;;
2015-438;Moscow;Hard;28;A;20151019;20;105138;2;;Roberto Bautista Agut;R;;ESP;27.5126625599;27;1405;104947;;;Marsel Ilhan;R;190;TUR;28.3559206023;97;562;6-2 7-5;3;R16;;7;1;53;34;29;13;10;1;1;5;2;62;35;22;13;10;2;5;;;;;;;;;;;;;;;;;;;;
2015-495;Dubai;Hard;32;A;20150223;14;104755;;;Richard Gasquet;R;185;FRA;28.6844626968;27;1365;104312;;;Andreas Seppi;R;190;ITA;31.0061601643;36;1145;6-4 6-7(1) 6-4;3;R32;142;5;2;99;55;41;23;16;1;4;8;4;96;44;30;31;16;4;9;;;;;;;;;;;;;;;;;;;;
2015-560;US Open;Hard;128;G;20150831;79;104871;27;;Jeremy Chardy;R;188;FRA;28.5475701574;27;1300;105373;;;Martin Klizan;L;190;SVK;26.1382614648;36;1125;7-5 6-4 7-6(1);5;R64;;13;5;99;68;55;15;17;1;3;9;5;95;60;39;19;17;2;6;;;;;;;;;;;;;;;;;;;;
2012-341;Metz;Hard;28;A;20120917;23;104312;5;;Andreas Seppi;R;190;ITA;28.5722108145;28;1390;104252;4;;Florian Mayer;R;190;GER;28.9527720739;25;1500;7-5 6-2;3;QF;61;1;1;48;31;30;6;10;0;1;4;2;54;33;20;11;10;2;6;;;;;;;;;;;;;;;;;;;;
2012-D069;Davis Cup WG PO: ITA vs CHI;Clay;4;D;20120914;3;104312;;;Andreas Seppi;R;190;ITA;28.553045859;28;1390;104154;;;Paul Capdeville;R;190;CHI;29.4428473648;161;320;6-3 6-1 6-3;5;RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-540;Wimbledon;Grass;128;G;20130624;78;104312;23;;Andreas Seppi;R;190;ITA;29.3388090349;28;1380;103566;;;Michael Llodra;L;190;FRA;33.1006160164;53;844;7-5 RET;5;R64;49;1;0;45;28;16;12;6;0;1;6;1;36;23;17;4;6;4;6;;;;;;;;;;;;;;;;;;;;
2013-439;Umag;Clay;28;A;20130722;26;103990;5;;Tommy Robredo;R;180;ESP;31.2251882272;28;1335;104312;2;;Andreas Seppi;R;190;ITA;29.4154688569;24;1550;6-3 2-6 6-4;3;SF;143;4;8;89;48;33;22;14;4;7;3;4;105;60;39;23;13;8;11;;;;;;;;;;;;;;;;;;;;
2014-540;Wimbledon;Grass;128;G;20140623;53;104259;22;;Philipp Kohlschreiber;R;178;GER;30.6858316222;28;1440;104997;;;Igor Sijsling;R;190;NED;26.8473648186;59;818;6-4 6-4 6-2;5;R128;76;9;0;79;60;45;14;14;2;2;5;3;79;48;35;13;14;5;9;;;;;;;;;;;;;;;;;;;;
2014-440;s-Hertogenbosch;Grass;32;A;20140615;27;105138;3;;Roberto Bautista Agut;R;;ESP;26.1711156742;28;1375;103917;7;;Nicolas Mahut;R;190;FRA;32.3997262149;41;1077;6-3 4-6 6-3;3;QF;122;0;3;89;64;38;17;14;5;9;6;5;83;48;28;17;14;5;11;;;;;;;;;;;;;;;;;;;;
2014-6003;Kuala Lumpur;Hard;28;A;20140922;26;103898;4;;Julien Benneteau;R;185;FRA;32.7556468172;28;1205;105208;2;;Ernests Gulbis;R;190;LAT;26.0616016427;13;2455;6-4 6-4;3;SF;80;4;1;55;33;27;14;10;0;0;11;1;53;38;26;10;10;1;3;;;;;;;;;;;;;;;;;;;;
2015-6932;Rio de Janeiro;Clay;32;A;20150216;26;104926;4;;Fabio Fognini;R;178;ITA;27.7344284736;28;1320;105643;;;Federico Delbonis;L;190;ARG;24.3668720055;63;771;6-4 6-7(10) 7-6(9);3;QF;192;3;3;133;72;47;36;17;10;13;8;9;131;72;53;26;17;8;12;;;;;;;;;;;;;;;;;;;;
2015-747;Beijing;Hard;32;A;20151005;14;104926;;;Fabio Fognini;R;178;ITA;28.3668720055;28;1300;105373;;;Martin Klizan;L;190;SVK;26.2340862423;42;1015;6-2 6-1;3;R32;;2;3;39;25;20;9;7;2;2;1;3;59;33;19;10;8;5;10;;;;;;;;;;;;;;;;;;;;
2012-410;Monte Carlo Masters;Clay;56;M;20120415;9;103781;15;;Jurgen Melzer;L;183;AUT;30.9021218344;29;1192;103997;;;Lukasz Kubot;R;190;POL;29.9192334018;51;872;6-2 7-5;3;R64;98;3;2;58;38;29;9;10;3;5;2;3;75;52;31;6;10;6;11;;;;;;;;;;;;;;;;;;;;
2012-520;Roland Garros;Clay;128;G;20120527;45;106071;25;;Bernard Tomic;R;193;AUS;19.6002737851;29;1240;104890;;Q;Andreas Haider Maurer;R;190;AUT;25.1854893908;155;336;7-6(5) 6-3 6-3;5;R128;121;10;2;116;76;46;22;15;6;9;3;9;97;61;34;16;15;3;9;;;;;;;;;;;;;;;;;;;;
2013-520;Roland Garros;Clay;128;G;20130527;20;104926;27;;Fabio Fognini;R;178;ITA;26.0095824778;29;1345;104676;;Q;Andreas Beck;L;190;GER;27.3045859001;557;49;6-3 7-5 6-3;5;R128;138;10;5;121;78;50;27;15;12;13;4;4;110;60;37;25;15;8;13;;;;;;;;;;;;;;;;;;;;
2013-422;Cincinnati Masters;Hard;56;M;20130811;35;105777;;;Grigor Dimitrov;R;188;BUL;22.2422997947;29;1305;104548;;WC;Brian Baker;R;190;USA;28.2847364819;185;263;6-3 6-2;3;R32;56;11;1;49;35;28;7;9;0;1;1;7;48;25;14;9;8;3;7;;;;;;;;;;;;;;;;;;;;
2013-314;Gstaad;Clay;28;A;20130722;10;103852;5;;Feliciano Lopez;L;188;ESP;31.8357289528;29;1325;103401;;Q;Jan Hernych;R;190;CZE;34.0424366872;183;262;7-6(2) 6-3;3;R32;72;7;1;59;44;39;10;11;2;2;10;4;71;45;32;14;10;1;2;;;;;;;;;;;;;;;;;;;;
2013-540;Wimbledon;Grass;128;G;20130624;95;103990;32;;Tommy Robredo;R;180;ESP;31.1485284052;29;1355;103917;;WC;Nicolas Mahut;R;190;FRA;31.4223134839;124;460;7-6(3) 6-1 7-6(5);5;R64;123;9;3;100;63;52;28;16;2;2;17;3;94;61;48;18;15;3;5;;;;;;;;;;;;;;;;;;;;
2013-2276;Zagreb;Hard;28;A;20130204;26;103781;4;;Jurgen Melzer;L;183;AUT;31.7070499658;29;1245;104898;;;Robin Haase;R;190;NED;25.8343600274;58;755;7-6(2) 6-3;3;SF;82;3;3;53;36;33;9;10;0;1;6;3;86;50;38;12;11;8;11;;;;;;;;;;;;;;;;;;;;
