tourney_id;tourney_name;surface;draw_size;tourney_level;tourney_date;match_num;winner_id;winner_seed;winner_entry;winner_name;winner_hand;winner_ht;winner_ioc;winner_age;winner_rank;winner_rank_points;loser_id;loser_seed;loser_entry;loser_name;loser_hand;loser_ht;loser_ioc;loser_age;loser_rank;loser_rank_points;score;best_of;round;minutes;w_ace;w_df;w_svpt;w_1stIn;w_1stWon;w_2ndWon;w_SvGms;w_bpSaved;w_bpFaced;l_ace;l_df;l_svpt;l_1stIn;l_1stWon;l_2ndWon;l_SvGms;l_bpSaved;l_bpFaced;;;;;;;;;;;;;;;;;;;;
2012-403;Miami Masters;Hard;96;M;20120321;37;105223;11;;Juan Martin Del Potro;R;198;ARG;23.485284052;11;2660;103333;;;Ivo Karlovic;R;208;CRO;33.054072553;54;847;7-5 6-4;3;R64;105;6;3;59;36;32;14;11;0;0;8;2;72;41;32;15;11;5;7;;;;;;;;;;;;;;;;;;;;
2015-328;Basel;Hard;32;A;20151026;28;104755;5;;Richard Gasquet;R;185;FRA;29.3552361396;11;2580;103333;;;Ivo Karlovic;R;208;CRO;36.6570841889;23;1485;6-4 6-7(2) 7-6(6);3;QF;;6;1;101;74;57;22;17;2;2;32;4;108;75;60;19;17;3;4;;;;;;;;;;;;;;;;;;;;
2014-421;Canada Masters;Hard;56;M;20140804;27;104755;12;;Richard Gasquet;R;185;FRA;28.128678987;13;2460;103333;;;Ivo Karlovic;R;208;CRO;35.4305270363;31;1205;5-7 7-6(5) 6-3;3;R32;116;3;2;92;61;48;22;16;0;1;27;5;96;63;53;18;17;3;5;;;;;;;;;;;;;;;;;;;;
2014-416;Rome Masters;Clay;56;M;20140511;31;105777;12;;Grigor Dimitrov;R;188;BUL;22.9897330595;14;2200;103333;;;Ivo Karlovic;R;208;CRO;35.2005475702;52;902;7-6(3) 6-4;3;R32;73;8;0;60;37;33;15;11;0;0;15;0;55;44;37;6;11;0;1;;;;;;;;;;;;;;;;;;;;
2012-1720;Bangkok;Hard;28;A;20120924;18;105683;3;;Milos Raonic;R;196;CAN;21.7440109514;15;2090;103333;;;Ivo Karlovic;R;208;CRO;33.5715263518;80;616;7-6(3) 6-4;3;R16;91;14;3;66;47;41;10;11;0;0;9;2;62;40;33;11;11;2;3;;;;;;;;;;;;;;;;;;;;
2014-402;Memphis;Hard;28;A;20140210;27;105453;1;;Kei Nishikori;R;178;JPN;24.1177275838;16;1965;103333;;;Ivo Karlovic;R;208;CRO;34.9514031485;80;667;6-4 7-6(0);3;F;90;8;2;68;44;38;15;11;2;2;20;3;75;57;44;6;11;8;9;;;;;;;;;;;;;;;;;;;;
2013-315;Newport;Grass;32;A;20130708;28;104545;2;;John Isner;R;206;USA;28.1998631075;19;1770;103333;;;Ivo Karlovic;R;208;CRO;34.3572895277;167;310;7-6(3) 7-6(3);3;QF;98;23;1;77;56;45;15;12;0;0;14;3;75;53;41;13;12;0;0;;;;;;;;;;;;;;;;;;;;
2014-520;Roland Garros;Clay;128;G;20140526;99;104731;19;;Kevin Anderson;R;203;RSA;28.0219028063;20;1710;103333;;;Ivo Karlovic;R;208;CRO;35.2388774812;37;1097;6-3 RET;5;R32;43;7;0;26;19;16;5;5;0;0;6;1;29;18;14;2;4;4;5;;;;;;;;;;;;;;;;;;;;
2014-499;Delray Beach;Hard;32;A;20140217;19;104731;4;;Kevin Anderson;R;203;RSA;27.7535934292;21;1580;103333;;;Ivo Karlovic;R;208;CRO;34.970568104;56;817;1-0 RET;3;R16;4;1;1;5;3;3;1;1;0;0;0;2;3;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2013-404;Indian Wells Masters;Hard;96;M;20130307;35;105023;23;;Sam Querrey;R;198;USA;25.4072553046;23;1695;103333;;Q;Ivo Karlovic;R;208;CRO;34.0123203285;143;381;6-3 6-4;3;R64;63;7;2;51;34;31;9;10;0;0;13;3;57;35;26;11;9;6;8;;;;;;;;;;;;;;;;;;;;
